date,plant,quantity,unit
2021-05-06,Potato,136,oz
2021-05-09,Banana Pepper,8,oz
2021-05-10,Yellow Squash,10,oz
2021-05-10,Shishito Pepper,4,oz
2021-05-11,Shishito Pepper,4,oz
2021-05-12,Shishito Pepper,10,oz
2021-05-13,Yellow Squash,15,oz
2021-05-15,Tomato (Cherry),4,oz
2021-05-15,Cayenne,5,oz
2021-05-15,Shishito Pepper,7,oz
2021-05-16,Yellow Squash,22,oz
2021-05-16,Banana Pepper,14,oz
2021-05-16,Bell Pepper,14,oz
2021-05-18,Cucumber,8,oz
2021-05-18,Zucchini,17,oz
2021-05-19,Yellow Squash,51,oz
2021-05-19,Shishito Pepper,7,oz
2021-05-19,Tomato (Cherry),6,oz
2021-05-21,Tomato (Cherry),4,oz
2021-05-21,Cucumber,17,oz
2021-05-21,Zucchini,11,oz
2021-05-21,Yellow Squash,8,oz
2021-05-21,Green Bean (Bush),11,oz
2021-05-21,Banana Pepper,4,oz
2021-05-23,Turnip,17,oz
2021-05-23,Green Bean (Bush),10,oz
2021-05-23,Shishito Pepper,6,oz
2021-05-23,Tomato (Large),6,oz
2021-05-23,Tomato (Cherry),4,oz
2021-05-23,Zucchini,34,oz
2021-05-24,Green Bean (Bush),6,oz
2021-05-24,Yellow Squash,10,oz
2021-05-24,Banana Pepper,2,oz
2021-05-24,Shishito Pepper,6,oz
2021-05-24,Green Bean (Bush),13,oz
2021-05-25,Cucumber,154,oz
2021-05-25,Beet,9,oz
2021-05-25,Tomato (Large),7,oz
2021-05-26,Cucumber,39,oz
2021-05-28,Bell Pepper,5,oz
2021-05-28,Shishito Pepper,40,oz
2021-05-28,Green Bean (Bush),97,oz
2021-05-28,Tomato (Cherry),10,oz
2021-05-28,Tomato (Large),12,oz
2021-05-30,Cucumber,66,oz
2021-05-30,Shishito Pepper,5,oz
2021-05-30,Yellow Squash,7,oz
2021-05-30,Zucchini,6,oz
2021-05-30,Tomato (Cherry),6,oz
2021-05-30,Banana Pepper,4,oz
2021-05-31,Tomato (Cherry),6,oz
2021-05-31,Tomato (Large),17,oz
2021-06-01,Tomato (Large),32,oz
2021-06-01,Cucumber,94,oz
2021-06-02,Shishito Pepper,22,oz
2021-06-02,Banana Pepper,22,oz
2021-06-02,Green Bean (Bush),22,oz
2021-06-04,Tomato (Large),12,oz
2021-06-04,Cucumber,12,oz
2021-06-04,Cucumber,56,oz
2021-06-04,Tomato (Large),50,oz
2021-06-04,Potato,74,oz
2021-06-05,Beet,3,oz
2021-06-05,Butternut Squash,20,oz
2021-06-05,Jalapeño,8,oz
2021-06-05,Shishito Pepper,20,oz
2021-06-05,Green Bean (Bush),7,oz
2021-06-05,Tomato (Cherry),12,oz
2021-06-05,Tomato (Large),21,oz
2021-06-05,Beet,4,oz
2021-06-05,Turnip,6,oz
2021-06-05,Banana Pepper,6,oz
2021-06-06,Tomato (Cherry),12,oz
2021-06-06,Tomato (Large),13,oz
2021-06-06,Shishito Pepper,6,oz
2021-06-07,Tomato (Large),55,oz
2021-06-07,Tomato (Large),90,oz
2021-06-07,Cucumber,42,oz
2021-06-07,Tomato (Cherry),10,oz
2021-06-08,Shishito Pepper,10,oz
2021-06-09,Shishito Pepper,10,oz
2021-06-09,Tomato (Cherry),20,oz
2021-06-10,Tomato (Cherry),6,oz
2021-06-10,Green Bean (Bush),6,oz
2021-06-10,Shishito Pepper,10,oz
2021-06-11,Green Bean (Bush),34,oz
2021-06-11,Cucumber,12,oz
2021-06-11,Banana Pepper,3,oz
2021-06-11,Tomato (Large),26,oz
2021-06-11,Tomato (Cherry),18,oz
2021-06-11,Shishito Pepper,21,oz
2021-06-11,Beet,6,oz
2021-06-11,Cayenne,1,oz
2021-06-13,Tomato (Large),282,oz
2021-06-13,Tomatillo,7,oz
2021-06-13,Cayenne,13,oz
2021-06-13,Green Bean (Bush),9,oz
2021-06-13,Banana Pepper,21,oz
2021-06-13,Cucumber,139,oz
2021-06-13,Butternut Squash,26,oz
2021-06-13,Tomato (Cherry),21,oz
2021-06-18,Tomato (Large),279,oz
2021-06-18,Bell Pepper,23,oz
2021-06-18,Jalapeño,10,oz
2021-06-18,Tomatillo,8,oz
2021-06-18,Carrot,4,oz
2021-06-19,Tomatillo,34,oz
2021-06-19,Tomato (Cherry),37,oz
2021-06-19,Shishito Pepper,17,oz
2021-06-19,Green Bean (Bush),8,oz
2021-06-19,Bell Pepper,3,oz
2021-06-20,Tomato (Large),193,oz
2021-06-20,Cucumber,199,oz
2021-06-20,Green Bean (Bush),6,oz
